StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
2023-12-09 11:59:25,2023-12-09 12:01:23,IP Address,146.70.104.19,100,117,True,2023-12-09 12:01:23,R_2AKIXnHsqVe1sBh,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2023-12-09 12:01:26,2023-12-09 12:06:57,IP Address,146.70.104.19,100,331,True,2023-12-09 12:06:58,R_2OVgwB3OP5fzLJ4,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2023-12-09 12:07:02,2023-12-09 12:08:30,IP Address,146.70.104.19,100,88,True,2023-12-09 12:08:30,R_2vhITuj7WaaFadf,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-12-09 12:08:33,2023-12-09 12:10:27,IP Address,146.70.104.19,100,114,True,2023-12-09 12:10:28,R_3xdyRV6Jgz9HDTX,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
2023-12-09 12:10:31,2023-12-09 12:12:00,IP Address,146.70.104.19,100,88,True,2023-12-09 12:12:01,R_1hQg1qHHhvYoPQF,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
2023-12-09 12:12:04,2023-12-09 12:13:29,IP Address,146.70.104.19,100,85,True,2023-12-09 12:13:30,R_2dWSpRpXmLazKmc,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
2023-12-09 12:13:32,2023-12-09 12:15:15,IP Address,146.70.104.19,100,102,True,2023-12-09 12:15:15,R_3e2ji9u5rkKVQ13,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
2023-12-09 12:15:21,2023-12-09 12:17:09,IP Address,146.70.104.19,100,108,True,2023-12-09 12:17:09,R_2S7ai0VEll0NVRM,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-12-09 12:33:01,2023-12-09 12:34:26,IP Address,146.70.104.19,100,84,True,2023-12-09 12:34:26,R_1GCRABTCaQFGFB7,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-12-09 12:34:31,2023-12-09 12:37:24,IP Address,146.70.104.19,100,172,True,2023-12-09 12:37:24,R_vc7VolnXI18ZsNX,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
2023-12-09 12:37:27,2023-12-09 12:40:20,IP Address,146.70.104.19,100,172,True,2023-12-09 12:40:20,R_33BETeb1OENopcb,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-09 12:40:25,2023-12-09 12:41:49,IP Address,146.70.104.19,100,83,True,2023-12-09 12:41:49,R_2TBoryciV7z6O2b,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
2023-12-09 12:41:53,2023-12-09 12:45:05,IP Address,146.70.95.137,100,192,True,2023-12-09 12:45:06,R_1hKMmXruWz2G7Ek,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-12-09 12:45:08,2023-12-09 12:47:21,IP Address,146.70.104.19,100,132,True,2023-12-09 12:47:22,R_vCB543nPHmkZAFH,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2023-12-09 12:47:29,2023-12-09 12:51:19,IP Address,146.70.104.19,100,230,True,2023-12-09 12:51:20,R_2doLZiKzZ7pZyy8,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Master's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2023-12-09 12:51:24,2023-12-09 13:02:56,IP Address,89.47.62.103,100,692,True,2023-12-09 13:02:57,R_31EnrTalfR5ofcO,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-12-09 13:03:18,2023-12-09 13:06:45,IP Address,217.138.254.78,100,207,True,2023-12-09 13:06:46,R_0cTc87wdkMfrfvH,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
2023-12-09 13:11:15,2023-12-09 13:14:32,IP Address,94.6.141.119,100,196,True,2023-12-09 13:14:33,R_1DHeScMPyl7rG6D,,,,,51.8686,-2.2446,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Master's Degree,Employed Full-Time,Daily,A lot,Extremely adequate,Strongly agree,Somewhat agree,Somewhat disagree,Extremely comfortable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
2023-12-09 13:07:11,2023-12-09 13:15:29,IP Address,217.138.254.78,100,497,True,2023-12-09 13:15:29,R_p6uvB5qzXcOfveV,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
2023-12-10 18:26:21,2023-12-10 18:29:48,IP Address,148.252.129.51,100,206,True,2023-12-10 18:29:49,R_3mkOHoLRNHGSVNO,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Master's Degree,Student,Daily,A great deal,Extremely inadequate,Strongly agree,Strongly disagree,Strongly agree,Extremely uncomfortable,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-12-10 18:30:34,2023-12-10 18:33:12,IP Address,148.252.129.51,100,157,True,2023-12-10 18:33:12,R_1FJJNDUIvnf7y5f,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Master's Degree,Student,Daily,None at all,Extremely inadequate,Strongly disagree,Somewhat disagree,Somewhat agree,Extremely uncomfortable,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2023-12-10 18:33:42,2023-12-10 18:35:35,IP Address,148.252.129.51,100,112,True,2023-12-10 18:35:35,R_yrKf6sJqmLJzpYZ,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Student,Daily,A moderate amount,Somewhat adequate,Strongly agree,Strongly disagree,Strongly agree,Somewhat comfortable,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree
2023-12-10 23:24:27,2023-12-10 23:28:07,IP Address,2.30.176.27,100,219,True,2023-12-10 23:28:08,R_3fK2jHNEX5PWi4g,,,,,53.3858,-1.4616,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",45-54,Male,Doctorate or higher,Employed Part-Time,Daily,A lot,Neither adequate nor inadequate,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-12-11 09:40:48,2023-12-11 09:46:21,IP Address,146.70.104.28,100,333,True,2023-12-11 09:46:22,R_djrLGQmPNgsT82t,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
2023-12-11 09:46:25,2023-12-11 09:49:06,IP Address,146.70.104.28,100,161,True,2023-12-11 09:49:07,R_1oBfVLBd85IBmCv,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Part-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat uncomfortable,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2023-12-11 09:49:09,2023-12-11 09:57:42,IP Address,146.70.104.28,100,512,True,2023-12-11 09:57:42,R_2vjnjCkWZ1gEiZZ,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023-12-11 09:58:02,2023-12-11 10:18:14,IP Address,146.70.104.28,100,1212,True,2023-12-11 10:18:15,R_2vdWS4Wz8EiO7tq,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-11 10:18:21,2023-12-11 10:21:17,IP Address,146.70.104.28,100,176,True,2023-12-11 10:21:17,R_qRBl01jY28UTvEd,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
2023-12-11 10:21:20,2023-12-11 10:23:16,IP Address,146.70.104.28,100,115,True,2023-12-11 10:23:16,R_11ZMPHLD3Yd6BAk,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Weekly,A lot,Somewhat inadequate,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
2023-12-11 10:24:35,2023-12-11 10:27:10,IP Address,146.70.104.28,100,154,True,2023-12-11 10:27:11,R_2wuxuqypFSTcpJb,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2023-12-11 10:27:33,2023-12-11 10:43:10,IP Address,146.70.104.28,100,936,True,2023-12-11 10:43:11,R_1qbbjgyUJCmIduP,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Master's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-11 10:43:15,2023-12-11 10:48:01,IP Address,146.70.104.28,100,285,True,2023-12-11 10:48:01,R_2c1uTKCpdqSjOqG,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2023-12-11 10:48:04,2023-12-11 11:00:08,IP Address,146.70.104.28,100,724,True,2023-12-11 11:00:09,R_ZrySUm0zEoQLfcl,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
2023-12-11 11:00:13,2023-12-11 11:06:40,IP Address,146.70.104.28,100,386,True,2023-12-11 11:06:41,R_SBlA8b8dAhPD7W1,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2023-12-11 11:07:10,2023-12-11 11:11:42,IP Address,146.70.104.28,100,272,True,2023-12-11 11:11:43,R_2pVK91sP4G37s6M,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
2023-12-11 11:11:46,2023-12-11 11:16:21,IP Address,146.70.104.28,100,274,True,2023-12-11 11:16:22,R_33pREHhJWfgBsDE,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2023-12-11 11:16:25,2023-12-11 11:22:14,IP Address,146.70.104.28,100,348,True,2023-12-11 11:22:14,R_3m1B95GYag27plf,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2023-12-11 11:22:18,2023-12-11 11:24:33,IP Address,146.70.104.28,100,135,True,2023-12-11 11:24:34,R_3fDXivX8YELbzm5,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2023-12-11 11:46:16,2023-12-11 11:49:00,IP Address,146.70.104.28,100,163,True,2023-12-11 11:49:00,R_3fdWxBVP4Koixzy,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
2023-12-11 11:49:03,2023-12-11 11:51:55,IP Address,146.70.104.28,100,172,True,2023-12-11 11:51:57,R_cN47UJyBs0Sr2qB,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-11 11:52:00,2023-12-11 12:04:13,IP Address,146.70.104.28,100,732,True,2023-12-11 12:04:13,R_3fUbC7s3wrGGpO1,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-11 12:04:17,2023-12-11 12:10:23,IP Address,146.70.104.28,100,366,True,2023-12-11 12:10:24,R_3096qVD95hOmMD2,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-12-11 12:10:26,2023-12-11 12:12:30,IP Address,146.70.104.28,100,123,True,2023-12-11 12:12:30,R_shuI07831hVzuNj,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-12-11 12:12:34,2023-12-11 12:14:22,IP Address,146.70.104.28,100,107,True,2023-12-11 12:14:22,R_1mVgwWi68r3jesR,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
2023-12-11 12:14:25,2023-12-11 12:18:28,IP Address,146.70.104.28,100,243,True,2023-12-11 12:18:29,R_UxTrO4ZeDNPulu9,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2023-12-11 12:18:31,2023-12-11 12:24:59,IP Address,146.70.104.28,100,387,True,2023-12-11 12:24:59,R_1OCwsgy8DoZ5wpJ,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
2023-12-11 12:25:01,2023-12-11 12:27:42,IP Address,146.70.104.28,100,160,True,2023-12-11 12:27:42,R_110UZFSIIlLsmQK,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023-12-11 12:27:56,2023-12-11 12:31:10,IP Address,146.70.104.28,100,193,True,2023-12-11 12:31:11,R_ZaBZZwiWWDVv49b,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2023-12-11 12:31:18,2023-12-11 12:33:47,IP Address,146.70.104.28,100,149,True,2023-12-11 12:33:48,R_1H5oW1Lz8dadeJu,,,,,51.5064,-0.02,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
